"","cs_dep2023","2040","2060","2080","2100","fs_dep2023","2040","2060","2080","2100","cs_ndep2023","2040","2060","2080","2100","fs_ndep2023","2040","2060","2080","2100","ns_dep2023","2040","2060","2080","2100","ns_ndep2023","2040","2060","2080","2100"
"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027936,2055509,2155754,2155754,2155754
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015823.486543,2047220.141083,2149970.262048,2154529.531728,2155128.83134
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008427.186729,2042664.11459193,2145911.60243142,2154274.4151846,2155003.3976294
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000621.81837448,2038990.10508598,2141923.85642804,2154160.0331796,2154952.53339761
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991501.94794697,2035845.70899774,2137699.45347587,2154080.76872635,2154906.21600057
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981212.71400383,2033337.30493738,2133168.82236382,2154002.77402794,2154867.74336602
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970225.04129727,2031488.87482142,2128274.33601817,2153922.10341838,2154830.82264611
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1927567.95625318,2030271.23512048,2123003.28500375,2153835.78577253,2154784.63555403
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1927016.10867692,2029607.04722618,2117379.90051226,2153745.33173201,2154742.93146981
"9",0,0,0,0,0,0,0,0,0,0,1052.41219358242,1108.586082376,1153.41542531287,1176.47264273046,1177.03296488251,0,0,0,0,0,0,0,0,0,0,1925377.74491335,2028209.18431241,2110270.42198272,2152478.3548654,2153515.02201887
"10",0,0,0,0,0,0,0,0,0,0,2942.6257888761,3100.45361760665,3216.50626931721,3290.38551828904,3292.02214643952,0,0,0,0,0,0,0,0,0,0,1922886.57676536,2026083.45782281,2101965.56014071,2150268.64427527,2151349.78961405
"11",0,0,0,0,0,0,0,0,0,0,6334.61406274871,6675.74588010475,6905.32888289727,7085.19345999809,7088.86518900228,0,0,0,0,0,0,0,0,0,0,1918867.39501147,2022266.10768831,2091857.50257092,2146369.0759493,2147493.45265658
"12",0,0,0,0,0,0,0,0,0,0,12396.5328180547,13064.9989136217,13476.2287192615,13869.4012765884,13876.9305318268,0,0,0,0,0,0,0,0,0,0,1912144.25971741,2015318.83136294,2078797.95699555,2139473.0447968,2140647.47760448
